L,lambda,lambda_x,lambda_zz,B_mean,B_std,B_sem,n_seeds,S2_mean,S4_mean,ntrials_mean
10,0.5,0.5,0.5,0.4320185456936648,0.002470165878925028,0.0005523458820976877,20,2.7804493371913983,13.172861789354604,2000.0
10,0.51,0.51,0.49,0.41660511705780257,0.0027981397311573216,0.0006256830649410757,20,2.654234122906659,12.329831032094042,2000.0
10,0.52,0.52,0.48,0.40004761262548894,0.002434366001209765,0.0005443407860819369,20,2.527655300285425,11.499272465630241,2000.0
10,0.53,0.53,0.47,0.38475311118773164,0.0021491101234542903,0.0004805556327176758,20,2.414374068344577,10.759151588969553,2000.0
10,0.54,0.54,0.45999999999999996,0.36876919160343485,0.001823692026857437,0.0004077899342077601,20,2.301576792210939,10.031368112926767,2000.0
10,0.55,0.55,0.44999999999999996,0.35303567356172094,0.002634538396961629,0.0005891006944939528,20,2.194767787396576,9.349238220623528,2000.0
10,0.6,0.6,0.4,0.27766473732346214,0.0019047352837928144,0.0004369762429604812,19,1.7290501048146942,6.478504134403307,2000.0
10,0.65,0.65,0.35,0.21559447083197458,0.0009525245650492377,0.00021299096776885158,20,1.3853072786004472,4.516017557808592,2000.0
10,0.7,0.7,0.30000000000000004,0.16797147234864268,0.0007375273713293741,0.00016920038314315467,19,1.1351414861195597,3.2163341899403206,2000.0
10,0.8,0.8,0.19999999999999996,0.10725393161045842,0.0001401635679037301,3.134152658016482e-5,20,0.8235327418854258,1.8163983212513166,2000.0
10,0.9,0.9,0.09999999999999998,0.07637510382792487,2.2555573667924145e-5,5.043579599298265e-6,20,0.6710872593180982,1.2478859043094803,2000.0
12,0.1,0.1,0.9,0.6662322895876733,6.437680379874745e-5,1.4395090946816598e-5,20,8.968000353532904,80.5298384439741,2000.0
12,0.2,0.2,0.8,0.6617965458666714,0.00029120832084700705,6.680777063633013e-5,19,8.730927575746625,77.34281950293047,2000.0
12,0.3,0.3,0.7,0.6388786880593416,0.0008597993145374015,0.00019225697143133527,20,7.842625194546095,66.63396343939885,2000.0
12,0.35,0.35,0.65,0.6095401877923047,0.0016908367497679557,0.00037808259113359505,20,6.976133427293393,57.00604844772729,2000.0
12,0.4,0.4,0.6,0.5616906925502478,0.0018531860490713103,0.00041438499806777107,20,5.880515208032358,45.4703715984254,2000.0
12,0.42,0.42,0.5800000000000001,0.5365872250632256,0.0014690180141888056,0.000328482413989792,20,5.41050839647895,40.69704627375362,2000.0
12,0.44,0.44,0.56,0.5082747682598023,0.002697138728618331,0.0006030985541937945,20,4.93703975628206,35.9557903174145,2000.0
12,0.46,0.46,0.54,0.4776039299719893,0.002198891934671006,0.0004916871841100396,20,4.483593005777622,31.504288554337442,2000.0
12,0.47,0.47,0.53,0.46136661664210166,0.0016816656073245608,0.0003760318613401186,20,4.26472128872477,29.389679215867535,2000.0
12,0.48,0.48,0.52,0.44462103241276213,0.0028327461281085105,0.0006870418527500497,17,4.0510176063935575,27.342325663430127,2000.0
12,0.49,0.49,0.51,0.42703033966502246,0.0027912592390602364,0.0006579061119963653,18,3.8421463705174026,25.37447260983246,2000.0
12,0.5,0.5,0.5,0.4097946486178827,0.002892016302149573,0.0006634740423232725,19,3.6428587084347996,23.49655712246336,2000.0
12,0.51,0.51,0.49,0.3924889193180852,0.00295003653150369,0.0006767847958198856,19,3.4574679908783423,21.7864943005582,2000.0
12,0.52,0.52,0.48,0.37486967652157904,0.0025903978743316057,0.0005792305735776428,20,3.2768405720655416,20.137330375744536,2000.0
12,0.53,0.53,0.47,0.3569756716332124,0.0030200815905224855,0.0006753107734003962,20,3.1041083443814923,18.58746157738646,2000.0
12,0.54,0.54,0.45999999999999996,0.3402070415324567,0.002442227328063634,0.0005602853747464598,19,2.94488876431987,17.16593473557249,2000.0
12,0.55,0.55,0.44999999999999996,0.32309299647675277,0.002550662708247963,0.0005703455203316158,20,2.7906019534133004,15.814133093388133,2000.0
12,0.6,0.6,0.4,0.24574232670827723,0.001768859062818713,0.00039552891070792126,20,2.155205021774214,10.510397139906475,2000.0
12,0.65,0.65,0.35,0.1855963308783894,0.0011337822308372001,0.00025352141398333377,20,1.7007057820998839,7.066756944107108,2000.0
12,0.7,0.7,0.30000000000000004,0.1426411853391777,0.0004855063334220851,0.00010856251650384604,20,1.3816884130308396,4.910268467430261,2000.0
12,0.8,0.8,0.19999999999999996,0.0900959340674024,0.00017747099298572822,4.1830314201372884e-5,18,0.9937711443866459,2.695814001774447,2000.0
12,0.9,0.9,0.09999999999999998,0.06379914432923676,1.6553140088441412e-5,3.7013946478831877e-6,20,0.8063967491241124,1.8263660701936242,2000.0
